"","Compartment","MeanCont","Kingdom"
"1","BS",0,"Bacteria"
"2","G",0.100150928,"Bacteria"
"3","L",0.138050621333333,"Bacteria"
"4","R",0.000605340853333333,"Bacteria"
"5","RS",9.46666666666667e-07,"Bacteria"
"6","S",0.401808815333333,"Bacteria"
"7","Unknown",0.359383314666667,"Bacteria"
"8","BS",4.11927776666667e-06,"Fungi"
"9","G",0.312389939,"Fungi"
"10","L",0.110822886303333,"Fungi"
"11","R",0.000116957351374817,"Fungi"
"12","RS",5.8915891e-06,"Fungi"
"13","S",0.125538269383,"Fungi"
"14","Unknown",0.451121887,"Fungi"
