id,label,net_group,Class,Compartment,Tissue,Age
B1002_uncultured.bacterium,B1002_uncultured.bacterium,BS.48,Class_4,BS,Bulk soil,48
B1003_uncultured.bacterium,B1003_uncultured.bacterium,BS.48,Class_3,BS,Bulk soil,48
B1005_Candidatus.Udaeobacter,B1005_Candidatus.Udaeobacter,BS.48,Class_4,BS,Bulk soil,48
B1007_uncultured.bacterium,B1007_uncultured.bacterium,BS.48,Class_2,BS,Bulk soil,48
B1009_anaerobic.bacterium.MO.CFX2,B1009_anaerobic.bacterium.MO.CFX2,BS.48,Class_4,BS,Bulk soil,48
B1012_WCHB1.32,B1012_WCHB1.32,BS.48,Class_4,BS,Bulk soil,48
B1013_uncultured.soil.bacterium,B1013_uncultured.soil.bacterium,BS.48,Class_4,BS,Bulk soil,48
B1021_uncultured.delta.proteobacterium,B1021_uncultured.delta.proteobacterium,BS.48,Class_4,BS,Bulk soil,48
B1024_Flavisolibacter,B1024_Flavisolibacter,BS.48,Class_4,BS,Bulk soil,48
B1033_ADurb.Bin063.1,B1033_ADurb.Bin063.1,BS.48,Class_4,BS,Bulk soil,48
B1034_Mucilaginibacter,B1034_Mucilaginibacter,BS.48,Class_4,BS,Bulk soil,48
B1037_f_uncultured,B1037_f_uncultured,BS.48,Class_4,BS,Bulk soil,48
B1039_uncultured.prokaryote,B1039_uncultured.prokaryote,BS.48,Class_4,BS,Bulk soil,48
B104_uncultured.bacterium,B104_uncultured.bacterium,BS.48,Class_2,BS,Bulk soil,48
B105_Anaeromyxobacter,B105_Anaeromyxobacter,BS.48,Class_3,BS,Bulk soil,48
B1057_o_NA,B1057_o_NA,BS.48,Class_4,BS,Bulk soil,48
B1059_o_NA,B1059_o_NA,BS.48,Class_4,BS,Bulk soil,48
B1069_o_NA,B1069_o_NA,BS.48,Class_4,BS,Bulk soil,48
B108_Geobacter,B108_Geobacter,BS.48,Class_4,BS,Bulk soil,48
B1085_uncultured.prokaryote,B1085_uncultured.prokaryote,BS.48,Class_4,BS,Bulk soil,48
B1097_Bryobacter,B1097_Bryobacter,BS.48,Class_4,BS,Bulk soil,48
B1105_uncultured.prokaryote,B1105_uncultured.prokaryote,BS.48,Class_4,BS,Bulk soil,48
B112_uncultured.prokaryote,B112_uncultured.prokaryote,BS.48,Class_2,BS,Bulk soil,48
B1129_uncultured.soil.bacterium,B1129_uncultured.soil.bacterium,BS.48,Class_4,BS,Bulk soil,48
B113_o_RBG.13.54.9,B113_o_RBG.13.54.9,BS.48,Class_2,BS,Bulk soil,48
B1135_Massilia,B1135_Massilia,BS.48,Class_4,BS,Bulk soil,48
B114_Luteimonas,B114_Luteimonas,BS.48,Class_1,BS,Bulk soil,48
B1149_uncultured,B1149_uncultured,BS.48,Class_4,BS,Bulk soil,48
B1162_Conexibacter,B1162_Conexibacter,BS.48,Class_4,BS,Bulk soil,48
B1164_Singulisphaera,B1164_Singulisphaera,BS.48,Class_4,BS,Bulk soil,48
B117_o_NA,B117_o_NA,BS.48,Class_2,BS,Bulk soil,48
B1171_Sh765B.TzT.35,B1171_Sh765B.TzT.35,BS.48,Class_4,BS,Bulk soil,48
B1181_uncultured.bacterium,B1181_uncultured.bacterium,BS.48,Class_4,BS,Bulk soil,48
B1183_RB41,B1183_RB41,BS.48,Class_4,BS,Bulk soil,48
B119_Acidibacter,B119_Acidibacter,BS.48,Class_2,BS,Bulk soil,48
B1198_f_Streptomycetaceae,B1198_f_Streptomycetaceae,BS.48,Class_4,BS,Bulk soil,48
