Compartment,Module_1,Percent (%),Module_3,Percent (%),Module_6,Percent (%),Module_11,Percent (%),Total
BS.48,"2,569 ",7.198 ,11 ,0.067 ,0 ,0.000 ,0 ,0.000 ,"2,580 "
BS.62,"2,466 ",6.910 ,5 ,0.030 ,4 ,0.006 ,0 ,0.000 ,"2,475 "
BS.76,"1,922 ",5.386 ,9 ,0.055 ,1 ,0.002 ,0 ,0.000 ,"1,932 "
BS.90,"1,612 ",4.517 ,5 ,0.030 ,0 ,0.000 ,1 ,0.005 ,"1,618 "
BS.106,"2,339 ",6.554 ,7 ,0.043 ,1 ,0.002 ,0 ,0.000 ,"2,347 "
BS.120,"2,843 ",7.966 ,7 ,0.043 ,23 ,0.036 ,1 ,0.005 ,"2,874 "
BS.141,"2,653 ",7.434 ,21 ,0.128 ,30 ,0.047 ,0 ,0.000 ,"2,704 "
RS.48,"2,728 ",7.644 ,31 ,0.189 ,0 ,0.000 ,2 ,0.010 ,"2,761 "
RS.62,"2,185 ",6.123 ,13 ,0.079 ,0 ,0.000 ,0 ,0.000 ,"2,198 "
RS.76,"3,216 ",9.011 ,15 ,0.091 ,63 ,0.099 ,2 ,0.010 ,"3,296 "
RS.90,"2,379 ",6.666 ,14 ,0.085 ,5 ,0.008 ,0 ,0.000 ,"2,398 "
RS.106,"1,769 ",4.957 ,18 ,0.110 ,55 ,0.086 ,0 ,0.000 ,"1,842 "
RS.120,"1,788 ",5.010 ,65 ,0.396 ,51 ,0.080 ,0 ,0.000 ,"1,904 "
RS.141,"1,650 ",4.623 ,16 ,0.097 ,52 ,0.081 ,0 ,0.000 ,"1,718 "
R.48,123 ,0.345 ,"1,188 ",7.231 ,9 ,0.014 ,74 ,0.367 ,"1,394 "
R.62,358 ,1.003 ,"1,444 ",8.789 ,6 ,0.009 ,1 ,0.005 ,"1,809 "
R.76,89 ,0.249 ,"1,546 ",9.410 ,150 ,0.235 ,51 ,0.253 ,"1,836 "
R.90,108 ,0.303 ,"2,593 ",15.782 ,21 ,0.033 ,8 ,0.040 ,"2,730 "
R.106,34 ,0.095 ,"3,253 ",19.799 ,436 ,0.682 ,11 ,0.055 ,"3,734 "
R.120,171 ,0.479 ,"2,473 ",15.052 ,22 ,0.034 ,19 ,0.094 ,"2,685 "
R.141,38 ,0.106 ,"1,945 ",11.838 ,135 ,0.211 ,1 ,0.005 ,"2,119 "
S1.48,"1,595 ",4.469 ,357 ,2.173 ,87 ,0.136 ,789 ,3.910 ,"2,828 "
S1.62,206 ,0.577 ,174 ,1.059 ,159 ,0.249 ,628 ,3.112 ,"1,167 "
S1.76,18 ,0.050 ,206 ,1.254 ,407 ,0.637 ,834 ,4.133 ,"1,465 "
S1.90,43 ,0.120 ,49 ,0.298 ,"1,401 ",2.193 ,147 ,0.729 ,"1,640 "
S1.106,15 ,0.042 ,64 ,0.390 ,"3,254 ",5.093 ,141 ,0.699 ,"3,474 "
S1.120,0 ,0.000 ,47 ,0.286 ,"5,342 ",8.360 ,5 ,0.025 ,"5,394 "
