"","Proteobacteria_Gammaproteobacteria","unidentified_unidentified","Proteobacteria_Alphaproteobacteria","Bacteroidetes_Bacteroidia","Basidiomycota_Agaricomycetes","Actinobacteria_Actinobacteria","Ascomycota_Sordariomycetes","Ascomycota_Dothideomycetes","Proteobacteria_Deltaproteobacteria","Chloroflexi_Anaerolineae","Firmicutes_Clostridia","Firmicutes_Bacilli","Verrucomicrobia_Verrucomicrobiae","Planctomycetes_Planctomycetacia","Acidobacteria_Acidobacteriia","Ascomycota_Eurotiomycetes","Basidiomycota_Tremellomycetes","Acidobacteria_Subgroup 6","Ascomycota_Leotiomycetes","Cyanobacteria_Oxyphotobacteria","Ascomycota_unidentified","Firmicutes_Negativicutes","Actinobacteria_Thermoleophilia","Bacteroidetes_Ignavibacteria","Acidobacteria_Holophagae","Gemmatimonadetes_Gemmatimonadetes","Planctomycetes_Phycisphaerae","Ascomycota_Saccharomycetes","Cyanobacteria_Melainabacteria","Actinobacteria_Acidimicrobiia","Chloroflexi_Chloroflexia","Chloroflexi_KD4-96","Basidiomycota_Microbotryomycetes","Spirochaetes_Spirochaetia","Acidobacteria_Subgroup 18","Basidiomycota_Ustilaginomycetes","Acidobacteria_Blastocatellia (Subgroup 4)","Patescibacteria_Saccharimonadia","Acidobacteria_Subgroup 17","Ascomycota_Pezizomycetes","Basidiomycota_Cystobasidiomycetes","Fibrobacteres_Fibrobacteria","Armatimonadetes_Chthonomonadetes","Armatimonadetes_Fimbriimonadia","Basidiomycota_unidentified","Chlamydiae_Chlamydiae","Chytridiomycota_unidentified","Mortierellomycota_Mortierellomycetes","Patescibacteria_Parcubacteria","Nitrospirae_4-29-1","Nitrospirae_Thermodesulfovibrionia","Actinobacteria_Coriobacteriia","Basidiomycota_Exobasidiomycetes","Basidiomycota_Malasseziomycetes","Chloroflexi_Ktedonobacteria","Gemmatimonadetes_S0134 terrestrial group","Mucoromycota_Mucoromycetes","Basidiomycota_Agaricostilbomycetes","Deinococcus-Thermus_Deinococci","Rozellomycota_unidentified","Patescibacteria_Gracilibacteria","Planctomycetes_OM190","Acidobacteria_Thermoanaerobaculia","Ascomycota_Orbiliomycetes","Chytridiomycota_Rhizophydiomycetes","Cyanobacteria_Sericytochromatia","Rokubacteria_NC10","Armatimonadetes_Armatimonadia","Chloroflexi_Dehalococcoidia","Elusimicrobia_Elusimicrobia","Epsilonbacteraeota_Campylobacteria","Mucoromycota_Endogonomycetes","Patescibacteria_ABY1","Patescibacteria_Microgenomatia","Planctomycetes_BD7-11","Acidobacteria_Subgroup 25","Armatimonadetes_uncultured","Basidiomycota_Wallemiomycetes","Chloroflexi_OLB14","Firmicutes_Erysipelotrichia","Fusobacteria_Fusobacteriia","Latescibacteria_uncultured bacterium","Nitrospinae_P9X2b3D02","Planctomycetes_vadinHA49","Ascomycota_Arthoniomycetes","Chloroflexi_Gitt-GS-136","Latescibacteria_unidentified","Omnitrophicaeota_Omnitrophia","Patescibacteria_CPR2","Patescibacteria_WWE3","Proteobacteria_unidentified","Tenericutes_Mollicutes","WPS-2_metagenome","Acidobacteria_Aminicenantia","Acidobacteria_Subgroup 21","Actinobacteria_MB-A2-108","Basidiomycota_Spiculogloeomycetes","Chloroflexi_JG30-KF-CM66","Chloroflexi_SHA-26","Chloroflexi_TK10","Chytridiomycota_Spizellomycetes","FBP_uncultured bacterium","FBP_unidentified","Firmicutes_unidentified","Hydrogenedentes_Hydrogenedentia","Latescibacteria_uncultured Acidobacterium sp.","Nitrospirae_Nitrospira","Patescibacteria_Berkelbacteria","Planctomycetes_Pla3 lineage","Spirochaetes_Leptospirae","TA06_uncultured soil bacterium","WS2_unidentified","WS4_uncultured bacterium","Zixibacteria_uncultured prokaryote","Actinobacteria_KIST-JJY010","Actinobacteria_Rubrobacteria","Ascomycota_Lecanoromycetes","Basidiomycota_Atractiellomycetes","Basidiomycota_Dacrymycetes","Basidiomycota_Moniliellomycetes","Basidiomycota_Pucciniomycetes","BRC1_uncultured Acidobacteria bacterium","BRC1_unidentified","Chytridiomycota_Chytridiomycetes","Dependentiae_Babeliae","Elusimicrobia_Lineage IIa","Elusimicrobia_Lineage IIc","FBP_uncultured actinobacterium","FBP_uncultured endolithic bacterium","FBP_uncultured soil bacterium","Fibrobacteres_Chitinivibrionia","Firmicutes_Limnochordia","Gemmatimonadetes_Longimicrobia","Glomeromycota_Glomeromycetes","Glomeromycota_Paraglomeromycetes","Kiritimatiellaeota_Kiritimatiellae","Latescibacteria_uncultured bacterium mle1-16","Latescibacteria_uncultured Latescibacteria bacterium","Latescibacteria_uncultured soil bacterium PRR-12","Monoblepharomycota_Monoblepharidomycetes","Patescibacteria_unidentified","Planctomycetes_Pla4 lineage","WPS-2_hydrothermal vent metagenome","WS2_uncultured bacterium","WS2_uncultured Firmicutes bacterium","Zixibacteria_uncultured bacterium"
"Proteobacteria_Gammaproteobacteria",1,0,1,1,0,5.50699781846918e-16,0,0,0.352223311492556,1,8.38405693254581e-37,1.32979860131609e-23,4.09173832557368e-19,7.34917772151969e-46,6.40842302983939e-44,1.77267103025541e-182,3.08171103540252e-116,3.61204169086862e-06,3.31723037853754e-87,5.30205016482702e-37,3.89232253866306e-79,7.45489102893432e-19,7.47972853907727e-21,1.82442488538677e-17,1,0.031664388988141,0.000571240541596034,3.87847717432406e-50,4.27786038745826e-13,4.75889651112182e-15,0.164479430871987,1,6.32587016348146e-39,6.18974858191578e-07,0.00327477986854196,9.71140979006721e-28,1,0.00181257767069146,0.50114726870669,1.48641741072786e-24,5.68219480150038e-23,3.22104836573143e-10,0.20809361828113,0.00227268138906077,2.17621191834327e-21,6.42900219311252e-05,2.17621191834327e-21,2.17621191834327e-21,1.67731429251348e-05,0.531977386845057,0.00240282633523066,3.23424477528055e-07,4.81848130622785e-15,4.81848130622785e-15,0.000179563746445651,0.111933943664964,1.86175177342435e-13,7.18600377437556e-12,1,7.18600377437556e-12,0.267472044759642,0.000292337766589115,0.00112802529082619,9.45320703097516e-09,9.45320703097516e-09,7.60930294115427e-05,0.000324640682186322,0.000291528811077253,4.96015954066232e-05,1,1,3.36345538061331e-07,0.00435767116478108,0.00435767116478108,1,0.00106542478174315,0.108666592247402,1.16285306287784e-05,1,0.0454213221202981,0.108666592247402,1.16285306287784e-05,0.0454213221202981,0.016787169456127,0.000382498867454823,0.0036677134069536,0.0636744454505084,0.0636744454505084,0.0036677134069536,0.0186591533805883,0.0036677134069536,0.35076727494647,1,1,0.541738919395656,0.0108900598932948,0.0108900598932948,1,0.0108900598932948,0.0108900598932948,0.0108900598932948,0.541738919395656,0.241010459400784,1,0.0686814708405025,0.0686814708405025,0.0108900598932948,0.0686814708405025,0.0108900598932948,1,0.541738919395656,0.0108900598932948,0.0108900598932948,0.0108900598932948,1,1,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,1,0.868305487445422,0.265317727811245,0.868305487445422,0.265317727811245,0.868305487445422,0.868305487445422,0.265317727811245,1,1,0.265317727811245,1,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,0.868305487445422,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,0.265317727811245,0.868305487445422
"unidentified_unidentified",1,1,1,2.46791670104745e-20,7.22147816762414e-252,4.74704237756897e-08,3.96177732872722e-146,4.9698408618274e-113,0.297944667122443,1,7.06387274021604e-09,7.26305096565931e-39,3.36345538061331e-07,7.32584982280876e-44,3.77725415174250e-09,1.05342887347399e-125,9.39405920842927e-61,1,0.0271186654324623,3.92642146959079e-19,8.58619492353152e-23,0.000672595450838304,3.78569222607015e-07,5.91761374564184e-06,1,1,0.672580705795639,4.48904133999431e-29,3.67814112051424e-05,1.77771254673503e-06,0.0377815117643054,1,1.81284335151148e-28,1,1,3.88680288874189e-15,1,0.0707409748106384,1,0.33538620518489,6.60836537467522e-15,6.06912572436244e-11,1,0.00245781229083286,3.36345538061331e-07,1.35542672189974e-12,0.889213850351292,0.00484397351237119,2.79842708585578e-06,1,1,1,1.24077405961303e-11,1.24077405961303e-11,0.0262751955190478,1,2.09222064903395e-10,8.31202115663467e-07,0.0270379128537748,0.5964021098076,0.0268242752232482,0.00394176717868608,0.00906068957430087,9.54307144120124e-07,1,1.52230210152193e-05,1,0.00133090859657855,0.0548932819906753,1,0.673578187613117,1,0.000203089603590095,0.0548932819906753,1,0.000235823419390998,0.00241484467084707,0.00241484467084707,1,0.012620148171192,0.000235823419390998,0.012620148171192,1,0.271792671662007,0.00336626684000368,1,0.0260784952455341,0.56036677372396,0.00336626684000368,0.56036677372396,0.00336626684000368,0.00336626684000368,0.925149218766188,1,0.576248701785821,1,0.043953807161235,0.228319181485789,0.228319181485789,0.043953807161235,0.576248701785821,0.043953807161235,0.043953807161235,1,0.043953807161235,0.576248701785821,0.043953807161235,1,0.043953807161235,0.043953807161235,0.228319181485789,0.043953807161235,0.576248701785821,0.043953807161235,1,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496,1,0.485779014172496,1,0.485779014172496,1,0.485779014172496,1,0.485779014172496,1,0.485779014172496,0.485779014172496,0.485779014172496,1,1,1,1,0.485779014172496,1,0.485779014172496,0.485779014172496,0.485779014172496,0.485779014172496
"Proteobacteria_Alphaproteobacteria",1,0,1,1,0,1,0,0,1,1,5.26286000268297e-07,1.90127739019072e-23,1,0.0380550306779073,1.31060111928081e-12,5.67156227171311e-131,2.61200734930671e-83,1.63803847933526e-06,2.06844536944029e-62,1.24570251048369e-27,1.3168142021887e-56,0.0223053711027413,8.0814513679122e-14,2.1396907031355e-10,1,0.00453984399000368,0.0844422495289264,8.14397432659708e-36,0.369833309657451,7.61368698908831e-16,0.699966062033045,1,9.41218353622981e-28,1,0.000106846994670227,9.60064253987948e-20,1,1,0.00675408844171726,1.89782673240466e-17,2.64444952558453e-16,0.000769526022244103,0.000654740039556152,1,3.56337518366995e-15,0.57046101153638,3.56337518366995e-15,3.56337518366995e-15,1,0.874271129410248,9.01496601681767e-05,0.00017384064445692,1.2574013060509e-10,1.2574013060509e-10,0.0030213010859263,0.0375456228024361,1.66849350570495e-09,2.22421434852774e-08,1,2.22421434852774e-08,1,0.00112125456200934,1,3.79038431996514e-06,3.79038431996514e-06,0.00202135051631585,0.0566151072354483,0.984846347632924,4.69063598858282e-05,1,1,4.69063598858282e-05,0.000569521666134892,0.43095158610406,1,0.0259786923669997,0.000571116481628214,0.000571116481628214,1,0.0828007969287316,1,0.0259786923669997,0.719132497611646,0.00530235711960645,0.00646182838221005,0.00646182838221005,0.166983445717206,0.407818825441041,0.043953807161235,1,0.407818825441041,1,1,1,0.0663898664964061,0.0663898664964061,0.0663898664964061,0.758092229928806,0.0663898664964061,0.0663898664964061,0.0663898664964061,1,0.310342223229233,1,0.0663898664964061,0.310342223229233,0.0663898664964061,0.758092229928806,0.0663898664964061,0.758092229928806,0.310342223229233,0.0663898664964061,0.310342223229233,0.0663898664964061,0.572020223356082,1,0.572020223356082,0.572020223356082,0.572020223356082,0.572020223356082,0.572020223356082,1,0.572020223356082,0.572020223356082,0.572020223356082,0.572020223356082,1,1,0.572020223356082,1,0.572020223356082,0.572020223356082,1,0.572020223356082,0.572020223356082,1,0.572020223356082,0.572020223356082,0.572020223356082,0.572020223356082,1,0.572020223356082,1,0.572020223356082,0.572020223356082,0.572020223356082
"Bacteroidetes_Bacteroidia",1,0,1,1,0,1.18066150250448e-21,4.32492458029531e-287,1.28897899674179e-261,0.000349753338410581,0.0248329252907984,2.46788514872596e-55,2.18347856005542e-47,0.00252405796501593,1.29196668973499e-43,7.34422791720743e-30,8.51884626560698e-102,1.22340878961455e-64,1.89009494149981e-11,2.29040717611056e-48,3.6583653574697e-30,7.25825540832082e-44,9.26563981284764e-17,1.81858229341139e-14,5.95175374095565e-14,0.00167970458573267,9.22134110737086e-06,3.03670486363681e-07,1.0601400752733e-27,2.28229434641961e-08,3.08537539410629e-11,0.00273519565227939,1,1.88148166450172e-21,0.0396474941990557,0.000620158529162781,3.29050801420937e-15,1,0.405135771907638,0.000498255911154503,1.94497074721354e-13,1.51536493696176e-12,0.00170038040910676,1.58376368805591e-06,0.0116578022347954,1.17555173488891e-11,0.584422589523017,1.17555173488891e-11,1.17555173488891e-11,2.84574003922366e-08,1,4.5544553552805e-05,7.11912592900888e-06,3.74300550910584e-08,3.74300550910584e-08,0.000246274622351016,0.0287256822116428,2.80127673818301e-07,2.06336653309238e-06,1,2.06336653309238e-06,1,0.00019801825089365,0.0257270193956234,0.000106846994670227,0.000106846994670227,0.00660042714777857,0.00116775906643638,0.0314874220413373,0.00660042714777857,0.246288960145252,1,0.000727343189753007,0.00660042714777857,0.00660042714777857,1,0.00484397351237119,0.00484397351237119,0.00484397351237119,1,0.00484397351237119,0.133083088452211,0.00484397351237119,0.0351515079621695,1,0.0312184109399939,0.170521631757167,0.170521631757167,0.0312184109399939,0.471925827644213,0.471925827644213,0.0312184109399939,0.471925827644213,0.471925827644213,0.642934086634832,0.184576465094052,0.184576465094052,0.184576465094052,0.184576465094052,0.184576465094052,0.184576465094052,0.184576465094052,0.642934086634832,0.184576465094052,1,0.184576465094052,0.184576465094052,0.184576465094052,0.642934086634832,0.184576465094052,0.642934086634832,1,0.184576465094052,0.184576465094052,0.184576465094052,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,1,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,1,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,1,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,0.889213850351292,1,0.889213850351292,0.889213850351292,1,1,0.889213850351292
"Basidiomycota_Agaricomycetes",1,1,1,1,1,1,1,1,2.98921480594131e-08,0.00235610781638426,1.28076251508932e-13,1,4.12310634741148e-13,4.96964236461015e-29,2.12453888751963e-12,0.0349993855739462,1,1,1,2.24292813330515e-12,0.373867941669487,0.00700119911104987,0.00231605362960473,9.22003018421009e-11,1,0.000686831595790319,0.035762898731066,1,0.000220551470289924,7.97052779670092e-08,1,1,1,0.105978699348516,0.279247724721676,1,1,0.330126027993696,0.0627791730440658,0.0627791730440658,0.0411366336393374,4.97179473828208e-05,0.0900499743078592,0.000616072931146575,1,0.000616072931146575,0.162332114691259,1,4.01042409506951e-05,1,1,0.201417272806469,1,1,0.00042901101421542,0.127634827623222,0.630298998761703,0.764645921653995,1,0.764645921653995,0.0754308839902438,0.0269098702084749,0.0844492211876252,0.215727312204472,1,0.0265657253255995,0.73010546014259,0.517438731498534,0.00297099725355182,1,0.889213850351292,0.255531804981944,0.00297099725355182,0.0232387839407353,1,0.293524657284652,0.0883844480834737,0.293524657284652,1,1,1,0.0883844480834737,0.621841706736238,0.0883844480834737,1,1,0.314675150697205,0.0669276158980037,0.0669276158980037,0.0669276158980037,0.0669276158980037,0.765775711269153,0.0669276158980037,1,0.299904340484409,0.299904340484409,1,0.299904340484409,0.921495850057377,0.299904340484409,1,0.921495850057377,0.921495850057377,1,1,0.299904340484409,0.299904340484409,0.921495850057377,0.921495850057377,0.299904340484409,0.299904340484409,0.299904340484409,0.299904340484409,0.299904340484409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Actinobacteria_Actinobacteria",1,6.83996668216142e-289,1,0.000624434474267009,1.36995930917367e-253,1,7.21620680401324e-212,5.21176685085949e-193,0.075482217393606,1,4.42009677747845e-29,2.39344284868273e-17,3.00107424861212e-16,9.17158784610023e-26,3.47303871343728e-08,6.30557745719527e-75,1.76966481015893e-47,0.814509904118965,1.66529565374086e-35,2.2083513355074e-17,3.55282821608771e-32,4.38310974421408e-09,0.300367958043648,0.00103583049814951,1,1,0.225441677593212,2.82910802215277e-20,2.15497956920882e-05,0.00474890610754368,1,1,1.18586703540349e-15,0.10090717731031,1,4.66478754340818e-11,1,0.157189742633254,1,9.22571061403476e-10,4.12630184559501e-09,7.08364529777301e-06,1,0.209109726025875,1.82939607103677e-08,2.49492740300976e-05,1.82939607103677e-08,1.82939607103677e-08,7.9693451051721e-08,1,0.284332261405332,0.170924124027731,6.85115121061422e-06,6.85115121061422e-06,0.341341512375394,0.566775393838986,2.8980889298961e-05,0.000125222646380151,1,0.000125222646380151,0.201177498292218,0.0241134738229505,0.0172019993405373,0.00214821991049681,0.00214821991049681,0.00214821991049681,0.442563631867393,0.00859525936477927,0.200765808293399,1,1,0.00859525936477927,0.00859525936477927,0.0568004022367363,1,0.0334217699441592,0.0334217699441592,0.0334217699441592,1,0.487223258444967,0.181593926684552,0.487223258444967,0.181593926684552,0.181593926684552,0.125072315106517,1,1,0.125072315106517,1,1,0.125072315106517,1,0.489365274893398,1,1,0.438676136486535,0.438676136486535,0.438676136486535,0.438676136486535,0.438676136486535,0.438676136486535,1,0.438676136486535,1,0.438676136486535,0.438676136486535,0.438676136486535,0.438676136486535,0.438676136486535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ascomycota_Sordariomycetes",1,1,1,1,1,1,1,1,1,1,1,1,1,0.548845508916213,1,1,1,1,1,5.55066810026453e-11,1,0.137077508004005,1,1,1,1,1,1,1,0.0291989931611368,1,1,1,1,1,1,1,1,1,1,1,0.16054380762355,1,1,1,0.44219266972241,1,1,1,1,1,1,1,1,0.00336626684000368,1,1,1,1,1,1,0.0999464966453966,1,1,1,1,1,1,0.239667967209694,1,1,1,0.0108900598932948,0.953317153314556,1,1,0.0404065706207871,1,1,1,1,0.56036677372396,1,0.56036677372396,1,1,1,1,0.14542973051394,1,0.14542973051394,1,1,1,1,1,1,1,1,0.470809216656325,1,1,1,1,0.470809216656325,1,0.470809216656325,1,1,1,1,0.470809216656325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ascomycota_Dothideomycetes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.58499483013707e-06,1,1,1,1,0.0878722274973456,1,0.0376983327013633,1,1.31654387845493e-07,1,0.485779014172496,0.310222414478046,1,1,0.00507172029062667,1,1,1,1,0.11234629138007,1,1,1,1,1,1,0.207618504616926,1,1,1,0.115015622424418,1,1,0.00246114467540798,0.572020223356082,1,0.623202597704768,1,1,0.0315458415853804,1,1,1,1,1,1,0.0608771174939128,0.720899817204177,1,1,0.384054731505259,0.384054731505259,1,0.355486571135423,1,1,1,0.114588396720365,0.355486571135423,1,1,1,0.0636744454505084,1,1,1,0.299904340484409,1,1,0.200765808293399,0.200765808293399,1,0.687388242019032,1,1,0.687388242019032,1,1,1,1,1,1,1,0.57046101153638,0.57046101153638,1,0.57046101153638,1,1,0.57046101153638,1,0.57046101153638,0.57046101153638,1,0.57046101153638,1,0.57046101153638,0.57046101153638,0.57046101153638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Proteobacteria_Deltaproteobacteria",1.23405592655794e-129,0,1.55540849870627e-41,1.60992662716126e-71,1.73291608271083e-219,8.54300108084895e-79,2.42393699439654e-183,4.69876514339184e-167,5.47513579816491e-22,1,1.03024312428952e-37,5.4353604972521e-89,4.93823660544839e-25,1.88531217332724e-42,1.92610497146877e-08,9.99727287676927e-65,5.24670117953259e-41,8.9981010476341e-06,1.26893717269496e-30,1.89748971771144e-22,9.41218353622981e-28,3.48043127785147e-08,1.88158279277567e-05,0.0150286609060533,1,0.850331779448074,1,1.89782673240466e-17,1.8413875005764e-08,1.19179737740595e-09,7.20088547436074e-06,1,1.83302754906964e-13,1,0.671967600263676,1.66849350570495e-09,1,0.0166500862351021,1,2.22421434852774e-08,7.9693451051721e-08,0.000419561968248028,0.572020223356082,5.03934618750856e-06,2.91266707804331e-07,4.39493111454716e-05,2.91266707804331e-07,2.91266707804331e-07,0.00293818110391348,1,0.423091560395134,1,4.69063598858282e-05,4.69063598858282e-05,0.00959170801586218,0.0969601540734825,0.000167152107881524,0.000571116481628214,0.000571116481628214,0.000571116481628214,0.066282825535966,0.0157771900049103,0.043953807161235,0.00646182838221005,0.00646182838221005,0.00646182838221005,0.758092229928806,0.0213383350312561,0.0213383350312561,1,0.0213383350312561,0.0213383350312561,0.0213383350312561,0.375461784275183,0.0213383350312561,0.0663898664964061,0.0663898664964061,0.0663898664964061,1,0.758092229928806,0.0663898664964061,0.310342223229233,1,0.0663898664964061,0.20809361828113,0.20809361828113,0.20809361828113,0.20809361828113,0.713792680457359,0.20809361828113,0.20809361828113,0.20809361828113,0.713792680457359,1,1,0.572020223356082,0.572020223356082,1,0.572020223356082,0.572020223356082,0.572020223356082,1,0.572020223356082,1,0.572020223356082,0.572020223356082,1,1,0.572020223356082,1,0.572020223356082,0.572020223356082,0.572020223356082,0.572020223356082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chloroflexi_Anaerolineae",4.96937050472194e-103,3.60045246083526e-280,9.76510921555039e-59,2.90429511730475e-78,3.93260044736411e-176,3.27766757323677e-70,4.20350667566405e-147,5.2422582573884e-134,9.81483887228237e-06,1,8.7733878396015e-40,7.44990170573062e-71,1.26433905472828e-11,4.24309686896225e-41,2.7589566451053e-08,8.86510021278936e-52,9.16832879627176e-33,0.465665220541238,1.89447390889867e-24,6.71904560629637e-21,3.78064704031947e-22,5.02054585114709e-08,3.43922546577734e-07,1,1,1,1,6.92845866020553e-14,3.80267149857361e-11,0.0049958679467674,1,1,1.10713042179538e-10,0.0749153252686462,1,1.5788225571665e-07,1,0.00154895691068312,0.889213850351292,1.237563842505e-06,3.51412843217028e-06,3.51412843217028e-06,1,0.000132301275827055,9.66298099847023e-06,0.000132301275827055,9.66298099847023e-06,9.66298099847023e-06,0.075482217393606,1,0.0109413914121005,1,0.000550044309759163,0.000550044309759163,0.643702170229233,1,0.00145585199611166,0.0038067027278082,0.0038067027278082,0.0038067027278082,0.010180940583468,0.010180940583468,0.0262904081347312,0.0262904081347312,0.0262904081347312,0.0262904081347312,1,0.066139758508284,0.307122564819175,0.066139758508284,0.307122564819175,0.066139758508284,0.066139758508284,1,0.066139758508284,0.588607716322074,0.166983445717206,0.166983445717206,1,0.166983445717206,0.166983445717206,0.166983445717206,1,0.166983445717206,0.39269048654624,0.39269048654624,1,0.39269048654624,0.39269048654624,0.39269048654624,0.39269048654624,0.39269048654624,1,1,1,0.868305487445422,0.868305487445422,1,0.868305487445422,0.868305487445422,0.868305487445422,0.868305487445422,0.868305487445422,1,0.868305487445422,0.868305487445422,0.868305487445422,0.868305487445422,1,0.868305487445422,1,1,0.868305487445422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
