Bacteria,,,,,,Fungi,,,,
Days,group,Sample,Inheritance,SumGroup,,Days,group,Sample,Inheritance,SumGroup
76,Early successional,A1_G_76_1B,Inherited,0.039320822,,76,Early successional,A1_G_76_1F,Inherited,0.771635532
76,Early successional,A1_G_76_1B,Non-inherited,0.705391718,,76,Early successional,A1_G_76_1F,Non-inherited,0.112847883
76,Early successional,A1_G_76_1B,Transient,0.059577003,,76,Early successional,A1_G_76_1F,Transient,0.093023255
76,Early successional,A1_G_76_2B,Inherited,0,,76,Early successional,A1_G_76_2F,Inherited,0.161177295
76,Early successional,A1_G_76_2B,Non-inherited,0.880077367,,76,Early successional,A1_G_76_2F,Non-inherited,0.412987619
76,Early successional,A1_G_76_2B,Transient,0.05931657,,76,Early successional,A1_G_76_2F,Transient,0.045082925
76,Early successional,A1_G_76_3B,Inherited,0.07296875,,76,Early successional,A1_G_76_3F,Inherited,0.545498626
76,Early successional,A1_G_76_3B,Non-inherited,0.46625,,76,Early successional,A1_G_76_3F,Non-inherited,0.185065456
76,Early successional,A1_G_76_3B,Transient,0.0328125,,76,Early successional,A1_G_76_3F,Transient,0.210441247
76,Early successional,A1_G_76_4B,Inherited,0,,76,Early successional,A1_G_76_4F,Inherited,0.70422852
76,Early successional,A1_G_76_4B,Non-inherited,0.812005584,,76,Early successional,A1_G_76_4F,Non-inherited,0.131354025
76,Early successional,A1_G_76_4B,Transient,0.057701257,,76,Early successional,A1_G_76_4F,Transient,0.132703554
76,Early successional,A1_G_76_5B,Inherited,0,,76,Early successional,A1_G_76_5F,Inherited,0.897220097
76,Early successional,A1_G_76_5B,Non-inherited,0.806577918,,76,Early successional,A1_G_76_5F,Non-inherited,0.014154549
76,Early successional,A1_G_76_5B,Transient,0.1229444,,76,Early successional,A1_G_76_5F,Transient,0.011094109
76,Early successional,A1_G_76_6B,Inherited,0,,76,Early successional,A1_G_76_6F,Inherited,0.89835892
76,Early successional,A1_G_76_6B,Non-inherited,0.773462785,,76,Early successional,A1_G_76_6F,Non-inherited,0.041644609
76,Early successional,A1_G_76_6B,Transient,0.123786407,,76,Early successional,A1_G_76_6F,Transient,0.045173814
76,Early successional,A1_G_76_8B,Inherited,0,,76,Early successional,A1_G_76_7F,Inherited,0.74957651
76,Early successional,A1_G_76_8B,Non-inherited,0.571428571,,76,Early successional,A1_G_76_7F,Non-inherited,0.148503671
76,Early successional,A1_G_76_8B,Transient,0,,76,Early successional,A1_G_76_7F,Transient,0.098531903
76,Early successional,A1_G_76_9B,Inherited,0,,76,Early successional,A1_G_76_8F,Inherited,0.40393627
76,Early successional,A1_G_76_9B,Non-inherited,0.91369509,,76,Early successional,A1_G_76_8F,Non-inherited,0.298500467
76,Early successional,A1_G_76_9B,Transient,0.080620155,,76,Early successional,A1_G_76_8F,Transient,0.242736645
76,Early successional,B2_G_76_1B,Inherited,0,,76,Early successional,A1_G_76_9F,Inherited,0.522742254
76,Early successional,B2_G_76_1B,Non-inherited,0.828330207,,76,Early successional,A1_G_76_9F,Non-inherited,0.239617667
76,Early successional,B2_G_76_1B,Transient,0.160412758,,76,Early successional,A1_G_76_9F,Transient,0.216710613
76,Early successional,B2_G_76_2B,Inherited,0,,76,Early successional,B2_G_76_1F,Inherited,0.243533699
76,Early successional,B2_G_76_2B,Non-inherited,0.812110924,,76,Early successional,B2_G_76_1F,Non-inherited,0.083424409
76,Early successional,B2_G_76_2B,Transient,0.091114883,,76,Early successional,B2_G_76_1F,Transient,0.059927141
76,Early successional,B2_G_76_3B,Inherited,0.05192108,,76,Early successional,B2_G_76_2F,Inherited,0.786453434
76,Early successional,B2_G_76_3B,Non-inherited,0.399273104,,76,Early successional,B2_G_76_2F,Non-inherited,0.076356225
76,Early successional,B2_G_76_3B,Transient,0.08411215,,76,Early successional,B2_G_76_2F,Transient,0.079962372
76,Early successional,B2_G_76_4B,Inherited,0,,76,Early successional,B2_G_76_3F,Inherited,0.895756767
76,Early successional,B2_G_76_4B,Non-inherited,0.858319605,,76,Early successional,B2_G_76_3F,Non-inherited,0.035972826
76,Early successional,B2_G_76_4B,Transient,0.123558484,,76,Early successional,B2_G_76_3F,Transient,0.045327989
76,Early successional,B2_G_76_5B,Inherited,0,,76,Early successional,B2_G_76_4F,Inherited,0.959869417
76,Early successional,B2_G_76_5B,Non-inherited,0.849829352,,76,Early successional,B2_G_76_4F,Non-inherited,0.017437695
76,Early successional,B2_G_76_5B,Transient,0.150170649,,76,Early successional,B2_G_76_4F,Transient,0.014969345
76,Early successional,B2_G_76_6B,Inherited,0,,76,Early successional,B2_G_76_5F,Inherited,0.773398503
76,Early successional,B2_G_76_6B,Non-inherited,0.926356589,,76,Early successional,B2_G_76_5F,Non-inherited,0.029326122
76,Early successional,B2_G_76_6B,Transient,0,,76,Early successional,B2_G_76_5F,Transient,0.043469217
76,Early successional,B2_G_76_7B,Inherited,0,,76,Early successional,B2_G_76_6F,Inherited,0.41608662
76,Early successional,B2_G_76_7B,Non-inherited,0.963636364,,76,Early successional,B2_G_76_6F,Non-inherited,0.010054138
76,Early successional,B2_G_76_7B,Transient,0.036363636,,76,Early successional,B2_G_76_6F,Transient,0.527455529
76,Early successional,B2_G_76_8B,Inherited,0,,76,Early successional,B2_G_76_7F,Inherited,0.583768582
76,Early successional,B2_G_76_8B,Non-inherited,0.957792207,,76,Early successional,B2_G_76_7F,Non-inherited,0.237846525
76,Early successional,B2_G_76_8B,Transient,0.042207792,,76,Early successional,B2_G_76_7F,Transient,0.150261149
76,Early successional,B2_G_76_9B,Inherited,0,,76,Early successional,B2_G_76_8F,Inherited,0.838303916
76,Early successional,B2_G_76_9B,Non-inherited,0.979381444,,76,Early successional,B2_G_76_8F,Non-inherited,0.048082775
76,Early successional,B2_G_76_9B,Transient,0.020618557,,76,Early successional,B2_G_76_8F,Transient,0.107019679
76,Late successional,A1_G_76_1B,Inherited,0.111706881,,76,Early successional,B2_G_76_9F,Inherited,0.678137652
76,Late successional,A1_G_76_1B,Non-inherited,0,,76,Early successional,B2_G_76_9F,Non-inherited,0.259109311
76,Late successional,A1_G_76_1B,Transient,0.040214477,,76,Early successional,B2_G_76_9F,Transient,0.015182186
76,Late successional,A1_G_76_2B,Inherited,0.025145068,,76,Late successional,A1_G_76_1F,Inherited,0.020205871
