OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
KP409622.1.1215,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,unidentified,1519348,B1,B1_Pantoea
EU808442.1.1293,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,383938,B2,B2_Methylobacterium
KU725963.1.1234,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,331762,B3,B3_Sphingomonas
MLFS01000124.50.1600,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,unidentified,260540,B4,B4_Pantoea
EU239123.1.1223,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,210771,B5,B5_Pseudomonas
EF111062.1.1228,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,192894,B6,B6_Sphingomonas
KU725926.1.1331,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,unidentified,168942,B7,B7_Curtobacterium
GASZ01001652.185.1608,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unidentified,unidentified,165890,B8,B8_f_Rhizobiaceae
FJ432294.1.1202,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,151625,B9,B9_Methylobacterium
EU705754.1.1215,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,150338,B10,B10_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
EU723184.1.1305,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,unidentified,147748,B11,B11_Xanthomonas
LDRW01000020.4112.5606,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium barchaimii,121171,B12,B12_Novosphingobium
KJ606801.1.1322,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,unidentified,115448,B13,B13_Aureimonas
KU513667.1.1232,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,102934,B14,B14_Burkholderia.Caballeronia.Paraburkholderia
KC633581.1.1305,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,97005,B15,B15_Sphingomonas
JX192648.1.1366,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,82915,B16,B16_Sphingomonas
JF224904.1.1305,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,78785,B17,B17_Methylobacterium
KJ200413.1.1428,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Herbaspirillum,unidentified,77524,B18,B18_Herbaspirillum
KJ184878.1.1455,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,unidentified,77443,B19,B19_Xanthomonas
GU325690.1.1205,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,71756,B20,B20_Pseudomonas
